delta,Z,p
8.000950540101252,83.73873662234314,4.28507093326852e-37
8.242263120613016,88.15864052046686,5.15624543397016e-39
8.490853806547552,113.91657108413911,3.3513990180683454e-50
8.746942109123184,106.76849851864841,4.263542914773833e-47
9.010754160123915,119.70135568496073,1.0298529675311512e-52
9.282522911578925,111.32554523601274,4.472594269418671e-49
9.5624883414645,102.57566993818187,2.823519899009068e-45
9.850897665610034,136.953235947691,3.310427587010192e-60
10.148005555995216,141.76351420170704,2.6956089788124673e-62
10.454074365631167,93.6218317293747,2.1856931169924244e-41
10.76937436022411,72.74626661010733,2.5475241551301877e-32
11.094183956826116,75.01923831414017,2.623867697988356e-33
11.428789969683683,90.85780878265479,3.4677349490092946e-40
11.773487863501243,74.7674529864769,3.375165721212712e-33
12.12858201434315,57.34603928984036,1.243295002853861e-25
12.494385978404734,85.92276237128048,4.823990567798948e-38
12.871222768889465,104.94570717792995,2.6390152896657357e-46
13.259425141236985,121.36926216632473,1.9425300253494833e-53
13.6593358869537,170.66318029844925,7.562773686310867e-75
14.071308136305465,193.89497857673294,6.141730810849199e-85
14.495705670139621,162.27354267955297,3.3309421582739645e-71
14.932903241111747,186.0206924458778,1.6157899794185744e-81
15.383286904600753,179.97078358521762,6.856065100208831e-79
15.84725435960455,161.2841791216971,8.959381948591717e-71
16.325215299917282,162.28501542167078,3.2929423377620217e-71
16.81759177589826,154.12284574532853,1.1552031637292314e-67
17.324818567151997,109.37570976224733,3.143477168127683e-48
17.847343566448473,115.71697615020318,5.536993342565715e-51
18.38562817522262,72.10773023292043,4.824378878215241e-32
18.94014771100225,34.55894609818857,9.797464738915037e-16
19.511391827124243,8.715749421623606,0.00016398024453964332
20.099864945109534,0.678877466536247,0.5071861241399427
20.706086700078778,20.423649907461925,1.3492088323412424e-09
21.33059239960196,84.75655402650834,1.5484830310326118e-37
21.97393349638712,148.3486930380291,3.7199440455528225e-65
22.636678075225614,204.432955001961,1.6264302236075883e-89
23.31941135462389,253.1087471073681,1.1724936102104407e-110
24.02273620356469,234.70453722621565,1.1560167643077876e-102
24.7472736738541,210.5581778162507,3.55467658782061e-92
25.493663548524275,176.91562889037996,1.4555725514801922e-77
26.262564906776554,116.72925064079317,2.011974660351649e-51
27.054656705963158,104.66163867901702,3.5060485772876614e-46
27.870638381122134,180.36612276081047,4.6170582832811516e-79
28.711230462594187,340.9156312716157,8.495949971373966e-149
29.577175212267516,605.0431893849565,1.5561363488125369e-263
30.469237279011697,981.9045974611284,0.0
31.388204373880214,1497.6692084448398,0.0
32.33488796567702,1990.6080703104526,0.0
33.310123997502,2853.4401839471784,0.0
34.31477362490768,3461.7926716061597,0.0
35.34972397631913,3822.9443246229926,0.0
36.41588893638851,4376.024800575035,0.0
37.51420995297593,4562.891423573098,0.0
38.64565686846932,4941.028181180321,0.0
39.811228776177224,4913.734422372341,0.0
41.01195490255095,5145.12046215593,0.0
42.24889551601478,4889.121223978543,0.0
43.52314286320715,5088.979185288315,0.0
44.835822133459146,5021.653035430133,0.0
46.18809245236237,4759.743867981625,0.0
47.58114790530286,4928.388043258369,0.0
49.01621859186599,4831.277300019177,0.0
50.494571712041875,4954.876731036101,0.0
52.01751268519219,4966.206235835573,0.0
53.58638630276464,5252.1525869083725,0.0
55.20257791577477,5181.3978468882115,0.0
56.867514658101946,5687.8859189691375,0.0
58.58266670668137,5781.470296514107,0.0
60.34954857970326,6339.409986086106,0.0
62.16972047396723,6438.4133283878145,0.0
64.04478964257103,7049.893417658807,0.0
65.97641181415194,7177.40380767277,0.0
67.96629265493243,8056.3471048228475,0.0
70.01618927486227,8234.523072494992,0.0
72.12791177918652,8426.887372354038,0.0
74.30332486680949,9438.495205404506,0.0
76.54434947686622,9803.789119098092,0.0
78.85296448495538,10230.628858945802,0.0
81.23120845053127,11234.533787289402,0.0
83.68118141699814,11578.148547998633,0.0
86.20504676609619,12543.67040506619,0.0
88.80503312821669,13432.76361218768,0.0
91.48343635033326,14340.43502567868,0.0
94.24262152328687,15042.52928289964,0.0
97.08502507021468,16704.433067604117,0.0
100.01315689796697,17586.78101018683,0.0
103.02960261341208,18373.13457443023,0.0
106.13702580658554,20221.14327200668,0.0
109.33817040270077,21810.595550481903,0.0
112.63586308509751,22835.94565164756,0.0
116.03301579126722,24369.081633628237,0.0
119.5326282841596,26072.563675840225,0.0
123.13779080104204,27799.735218350237,0.0
126.85168678224899,29588.688239089177,0.0
130.67759568223173,31395.979603019256,0.0
134.61889586539127,33441.70666004938,0.0
138.67906758925125,35372.72135850199,0.0
142.86169607760388,37291.93640287282,0.0
147.17047468634382,38985.182930840325,0.0
151.60920816478531,40556.9283661042,0.0
156.18181601534278,42766.27567313907,0.0
160.89233595453982,45363.42975188979,0.0
165.74492747840455,47809.31340568628,0.0
170.743875535399,49345.50603911092,0.0
175.89359431012653,51347.18089003873,0.0
181.19863112115644,53548.84933213263,0.0
186.66367043640918,55821.54848741993,0.0
192.29353800964833,58106.77886610644,0.0
198.093205141731,60733.135427124944,0.0
204.0677930703789,62953.474779034485,0.0
210.22257749234726,64774.862483530014,0.0
216.562993221985,66035.82040261682,0.0
223.09463899029973,67503.99688365498,0.0
229.82328238876386,70214.03573386694,0.0
236.75486496222837,73474.34366968872,0.0
243.89550745544207,77080.52131057634,0.0
251.25151521780887,80495.08525011444,0.0
258.82938377115374,82361.23922767001,0.0
266.6358045454153,83756.37828679403,0.0
274.6776707873317,84834.21307431717,0.0
282.96208364733343,85691.33666183066,0.0
291.4963584500196,85999.49085893994,0.0
300.28803115375626,86587.86633535022,0.0
309.34486500509905,87842.17295899233,0.0
318.6748573939159,89742.2473713829,0.0
328.28624691526295,92045.44926822737,0.0
338.18752064425166,95771.8700272687,0.0
348.3874216303294,100123.98651898427,0.0
358.89495661759,104770.89774415974,0.0
369.7194039979326,109552.4444087534,0.0
380.8703220040926,114258.52811652742,0.0
392.35755714977927,117653.54625358377,0.0
404.19125292437013,120096.58881410034,0.0
416.3818587498412,120941.08128658491,0.0
428.94013920784477,120118.07627394327,0.0
441.87718354508024,117831.5461133519,0.0
455.20441546534977,114109.71515078354,0.0
468.9336032169471,109489.4705366318,0.0
483.0768699842888,104334.9951008721,0.0
497.64670459296235,99196.20475443653,0.0
512.6559725376414,94618.03545585308,0.0
528.1179273426087,90850.95890236899,0.0
